frame,x1,y1,x2,y2,confidence,class
0,1423,741,1494,911,0.8264,player
0,1359,436,1437,525,0.7146,player
0,1298,263,1335,315,0.5605,player
1,1426,675,1499,829,0.7765,player
1,1279,260,1332,328,0.3413,player
2,1369,663,1455,803,0.7055,player
2,1177,494,1236,563,0.571,player
2,1261,473,1325,574,0.4699,player
2,914,378,999,467,0.3839,player
3,927,363,1014,466,0.3548,player
3,167,249,215,346,0.3338,player
4,944,362,1026,437,0.5606,player
4,464,268,524,369,0.535,player
4,977,588,1077,702,0.2625,player
4,471,329,540,433,0.2602,player
5,1555,709,1640,840,0.9278,player
5,599,752,659,886,0.9259,player
5,1215,455,1279,549,0.9126,player
5,877,575,934,671,0.8988,player
5,815,554,863,645,0.8971,player
5,1650,440,1712,520,0.8966,player
5,1467,417,1515,502,0.8899,player
5,825,611,900,714,0.8887,player
5,1730,588,1766,693,0.8747,player
5,1551,482,1607,578,0.8711,player
5,1568,556,1625,659,0.8646,player
6,1550,711,1651,833,0.9321,player
6,833,617,899,719,0.9251,player
6,807,557,867,659,0.9221,player
6,602,751,668,879,0.9216,player
6,883,575,949,671,0.9197,player
6,1225,458,1273,551,0.9059,player
6,1736,589,1783,694,0.902,player
6,1644,444,1711,518,0.892,player
6,1569,551,1639,660,0.8802,player
6,1469,419,1527,504,0.8802,player
6,1551,484,1616,575,0.8688,player
6,1468,397,1504,464,0.3645,player
7,803,560,872,663,0.9265,player
7,1547,713,1614,831,0.9181,player
7,607,751,676,874,0.9172,player
7,1650,446,1712,525,0.9086,player
7,891,575,955,669,0.9061,player
7,1742,590,1796,695,0.906,player
7,838,615,893,724,0.9042,player
7,1235,462,1280,553,0.8958,player
7,1546,713,1645,832,0.8887,player
7,1571,555,1649,658,0.8768,player
7,1474,424,1532,507,0.874,player
7,1547,487,1595,581,0.8709,player
7,0,501,31,608,0.4062,player
7,1483,403,1522,447,0.2916,player
8,1748,591,1809,696,0.9243,player
8,613,752,676,877,0.9186,player
8,1540,718,1613,839,0.9153,player
8,808,565,876,666,0.9148,player
8,898,578,951,666,0.9066,player
8,1244,463,1295,558,0.9052,player
8,1568,568,1653,661,0.8929,player
8,839,616,892,725,0.8901,player
8,1662,450,1701,531,0.8822,player
8,1484,428,1530,513,0.8654,player
8,1552,490,1618,587,0.8422,player
8,0,505,41,610,0.6761,player
8,1497,402,1536,447,0.318,player
9,1536,721,1642,845,0.9215,player
9,817,570,878,670,0.9069,player
9,616,752,668,880,0.903,player
9,1664,452,1699,534,0.8992,player
9,1250,464,1307,559,0.8958,player
9,897,577,956,665,0.888,player
9,1578,566,1640,664,0.8873,player
9,1755,594,1823,700,0.8854,player
9,844,613,897,727,0.8779,player
9,1497,431,1531,515,0.866,player
9,1563,497,1601,588,0.8593,player
9,14,505,55,611,0.534,player
9,1521,406,1553,450,0.4112,player
10,1255,466,1317,559,0.9193,player
10,1661,452,1711,536,0.9119,player
10,1536,722,1631,847,0.9116,player
10,829,571,878,665,0.9005,player
10,1762,593,1830,704,0.9001,player
10,1498,432,1538,518,0.8985,player
10,623,752,667,882,0.8945,player
10,849,614,907,729,0.882,player
10,1586,569,1649,670,0.8764,player
10,920,578,959,670,0.8631,player
10,1565,498,1596,589,0.863,player
10,28,507,66,613,0.279,player
11,1499,433,1547,519,0.9268,player
11,1258,466,1328,560,0.9257,player
11,1536,719,1625,846,0.9158,player
11,1655,452,1719,532,0.915,player
11,1778,596,1834,704,0.9047,player
11,834,570,879,662,0.9024,player
11,628,749,672,878,0.8995,player
11,1561,496,1596,576,0.8948,player
11,852,610,916,721,0.8939,player
11,1592,566,1647,670,0.8854,player
11,933,574,966,672,0.8244,player
11,1554,408,1589,449,0.4701,player
11,916,573,965,670,0.3449,player
12,1534,717,1635,843,0.9292,player
12,632,745,686,878,0.9164,player
12,1266,469,1336,561,0.9101,player
12,853,609,926,717,0.9087,player
12,827,568,881,662,0.9082,player
12,1503,430,1552,518,0.9051,player
12,1649,453,1721,532,0.8992,player
12,937,571,981,671,0.8965,player
12,1788,597,1834,705,0.8921,player
12,1557,495,1610,585,0.8899,player
12,1596,567,1641,671,0.8819,player
13,1535,715,1642,841,0.9302,player
13,635,743,693,865,0.9196,player
13,1502,431,1554,517,0.912,player
13,1651,453,1716,535,0.9057,player
13,1268,471,1339,564,0.8946,player
13,1551,494,1622,587,0.8941,player
13,857,606,927,717,0.8922,player
13,825,568,894,661,0.8877,player
13,939,569,985,661,0.8821,player
13,1598,563,1652,673,0.8798,player
13,73,508,110,614,0.8216,player
13,1796,598,1841,706,0.7856,player
13,1587,409,1621,451,0.5046,player
14,1536,715,1642,835,0.9295,player
14,1504,433,1553,518,0.9149,player
14,637,741,694,863,0.9084,player
14,1598,555,1664,673,0.9051,player
14,859,605,917,720,0.8997,player
14,1545,493,1624,585,0.8977,player
14,948,566,987,660,0.8955,player
14,1268,472,1340,565,0.8941,player
14,830,568,893,665,0.8882,player
14,1805,595,1853,705,0.8833,player
14,1664,454,1697,537,0.8619,player
