frame,x1,y1,x2,y2,confidence,class
0,314,526,366,590,0.9257,player
0,1716,320,1748,383,0.9226,player
0,1133,480,1175,543,0.9222,player
0,928,197,967,247,0.92,player
0,901,573,942,639,0.9186,player
0,1131,344,1168,403,0.9177,player
0,1659,461,1695,524,0.9138,player
0,1298,810,1329,889,0.9127,player
0,361,377,391,433,0.9112,player
0,342,804,377,878,0.9109,player
0,289,446,316,513,0.9101,player
0,734,346,771,403,0.91,player
0,771,396,801,456,0.9092,player
0,936,268,959,326,0.9077,player
0,1026,147,1051,194,0.9073,player
0,848,237,890,289,0.907,player
0,446,211,482,266,0.9037,player
0,1473,224,1504,272,0.8906,player
0,562,95,590,142,0.7681,player
0,888,149,917,191,0.7431,player
0,903,158,939,206,0.7302,player
0,468,75,500,120,0.4198,player
1,900,575,932,639,0.9259,player
1,315,526,365,591,0.9255,player
1,768,392,802,456,0.9231,player
1,361,376,395,432,0.9189,player
1,1712,320,1750,384,0.916,player
1,445,209,480,265,0.9152,player
1,1133,479,1173,543,0.9152,player
1,929,199,964,246,0.9149,player
1,1130,345,1168,403,0.9124,player
1,1660,461,1698,524,0.9112,player
1,732,346,771,402,0.9093,player
1,289,446,316,512,0.9092,player
1,338,802,375,878,0.9092,player
1,847,239,885,290,0.9087,player
1,1474,224,1504,272,0.9036,player
1,937,268,957,326,0.9026,player
1,1303,810,1326,889,0.8974,player
1,1021,146,1044,195,0.8081,player
1,886,149,915,191,0.8003,player
1,464,74,497,118,0.7994,player
1,904,160,937,206,0.7898,player
1,562,95,584,142,0.7796,player
2,766,396,804,455,0.9345,player
2,443,208,482,265,0.9242,player
2,333,800,379,876,0.9219,player
2,1708,320,1753,383,0.9217,player
2,312,526,358,591,0.9207,player
2,896,576,928,639,0.9142,player
2,730,347,772,402,0.9132,player
2,287,443,317,511,0.9131,player
2,360,376,400,432,0.9125,player
2,937,268,960,326,0.9098,player
2,845,240,877,292,0.9089,player
2,1134,481,1168,543,0.9081,player
2,1133,347,1167,405,0.9074,player
2,930,201,962,247,0.8979,player
2,1304,810,1327,888,0.8964,player
2,1662,462,1699,524,0.8946,player
2,459,74,497,118,0.8769,player
2,1019,145,1048,193,0.8733,player
2,1474,224,1501,273,0.8643,player
2,884,149,917,196,0.7992,player
2,562,94,585,142,0.7647,player
2,897,157,933,204,0.6533,player
3,762,398,804,454,0.9359,player
3,328,798,379,874,0.9305,player
3,439,206,484,263,0.9182,player
3,1709,321,1753,384,0.9171,player
3,937,267,963,327,0.9158,player
3,357,374,403,430,0.9153,player
3,285,441,318,509,0.9148,player
3,303,525,350,590,0.9135,player
3,841,239,872,291,0.9129,player
3,1135,348,1164,405,0.9093,player
3,1135,482,1163,543,0.9085,player
3,890,575,930,640,0.908,player
3,729,348,770,402,0.9065,player
3,1301,810,1330,889,0.9055,player
3,1015,145,1046,193,0.8929,player
3,1664,462,1698,523,0.8929,player
3,929,202,957,247,0.8803,player
3,1475,225,1501,272,0.8783,player
3,561,93,588,142,0.8671,player
3,458,74,495,118,0.8491,player
3,881,149,917,196,0.8354,player
3,900,157,926,203,0.5793,player
4,324,796,376,868,0.9339,player
4,1013,144,1044,192,0.9294,player
4,934,267,966,327,0.9236,player
4,300,525,344,589,0.9228,player
4,837,240,874,289,0.9223,player
4,285,440,320,505,0.9178,player
4,436,206,484,261,0.9165,player
4,885,574,931,638,0.9163,player
4,354,373,404,429,0.9149,player
4,1295,811,1334,889,0.9137,player
4,1711,322,1750,384,0.9135,player
4,763,398,800,454,0.9101,player
4,1475,223,1504,272,0.908,player
4,1662,462,1696,522,0.9032,player
4,1132,482,1156,543,0.8982,player
4,1134,348,1159,405,0.8949,player
4,727,348,763,401,0.8919,player
4,561,92,590,141,0.8905,player
4,928,201,955,248,0.8847,player
4,878,147,914,194,0.8282,player
4,456,71,494,118,0.7953,player
4,901,158,926,206,0.7442,player
5,834,241,874,289,0.934,player
5,932,266,967,327,0.926,player
5,286,438,319,502,0.9248,player
5,319,794,371,867,0.923,player
5,1009,144,1043,193,0.9225,player
5,301,521,344,589,0.918,player
5,1128,481,1156,543,0.9131,player
5,877,574,928,637,0.9125,player
5,1476,223,1507,273,0.9118,player
5,1292,811,1338,889,0.9117,player
5,558,92,591,141,0.9113,player
5,1664,462,1694,523,0.9105,player
5,352,372,401,424,0.9085,player
5,432,205,481,261,0.9066,player
5,763,398,796,456,0.9027,player
